; Hulk, Leia Organa
Punching; Captain Falcon
Pureblood; Bill Weasley, Ginny Weasley, Harry Potter, Ron Weasley
Pyrokinesis; Blaze the Cat, Leo Valdez
Pyromaniac; Dr. Bunsen Honeydew
Queen; Arwen, Arya, Glimmer, Gran'ma Ben, Thorn Harvestar
Quiet; Shamir
Racer; Captain Falcon
Ranger; Akkar, Artyom
Raw Power; Akuma, Amadeus Cho, Dedue, Hulk
Reality Bending; Alan Wake
Reality Hopping; America Chavez, Blink
Rebel; Adora, Alyx, Amy Ferrier, Amy Rose, Barret Wallace, Glimmer, Leia Organa, Luke Skywalker, Sonic the Hedgehog
Rebel Leader; Bow
Rebellion; Bow
Rebellion (Star Wars); C3PO, Chewbacca, Han Solo, Leia Organa, Luke Skywalker, R2-D2
Redemption; Kylo Ren, Mai, Zuko
Redemption Arc; Catra
Reformed; Agent Venom, Quicksilver, Scarlet Witch
Reformed Villain; Agent Venom
Reindeer; Sven
Relic; Catherine
Religious; Mercedes
Reluctant Hero; Bilbo Baggins
Reporter; Iris West
Resistance (Star Wars); C3PO, Chewbacca, Leia Organa, R2-D2, Rey
Revenge-Driven; Chun-Li
Right-Hand Man Leader; Rhea|Seteth, Seteth|Rhea
Ring-Bearer; Bilbo Baggins
Ripple User; Caesar Anthonio Zeppeli
Rival; Captain America|Iron Man, Iron Man|Captain America
Robot; Bastion
Rogue; Araithia Shokta, Glynnric Manassnass
Romantic Subplot; Aang|Katara, Adora|Catra, Alex Fierro|Magnus Chase, Amy Rose|Sonic the Hedgehog, Annabeth Chase|Percy Jackson, Arwen|Aragorn, Asami Sato|Korra, Beth Johanssen|Dr. Chris Beck, Black Canary|Green Arrow, Blake Belladonna|Yang Xiao Long, Bow|Glimmer, Calypso|Leo Valdez, Carter Kane|Zia Rashid, Cassie Lang|Iron Lad, Catra|Adora, Dr. Chris Beck|Beth Johanssen, Fone Bone|Thorn Harvestar, Ginny Weasley|Harry Potter, Glimmer|Bow, Green Arrow|Black Canary, Han Solo|Leia Organa, Harry Potter|Ginny Weasley, Hermione Granger|Ron Weasley, Hope van Dyne|Scott Lang, Iris West|Barry Allen, Iron Lad|Cassie Lang, Jonathan Harker|Mina Harker, Katara|Aang, Korra|Asami Sato, Kristoff|Anna, Kylo Ren|Rey, Leia Organa|Han Solo, Leo Valdez|Calypso, Luigi|Princess Daisy, Magnus Chase|Alex Fierro, Mai|Zuko, Mario|Princess Peach, Mina Harker|Jonathan Harker, Percy Jackson|Annabeth Chase, Princess Daisy|Luigi, Princess Peach|Mario, Rey|Kylo Ren, Ron Weasley|Hermione Granger, Sadie Kane|Walt Stone, Scarlet Witch|Vision, Scott Lang|Hope van Dyne, Sokka|Suki, Sonic the Hedgehog|Amy Rose, Suki|Sokka, Thorn Harvestar|Fone Bone, Vision|Scarlet Witch, Walt Stone|Sadie Kane, Yang Xiao Long|Blake Belladonna, Zia Rashid|Carter Kane, Zuko|Mai
Royalty; Amethyst, Anna, Aquaman, Aragorn, Arwen, Arya, Azula, Bard the Bowman, Black Panther, Blaze the Cat, Bowser Jr., Bowser, Captain Nemo, Dimitri, Edelgard, Elsa, Glimmer, Gran'ma Ben, Iroh, Leia Organa, Princess Daisy, Princess Peach, Thorn Harvestar, Zuko
Runes; Hearthstone
Russian; Black Widow, Nadia van Dyne
Ruthless; Captain Nemo
SHIELD (Marvel); Black Widow
Sailor; Boun, Captain Ahab
Sarcastic; Kazooie, Toph Beifong
Scarf; Hearthstone
Schemer; Adam Warlock, Claude
Science Fiction; Captain Nemo
Scientific; Captain Nemo
Scientist; Allison Blake, Bob Kerman, Bruce Ng, Dr. Bunsen Honeydew
Sea; Percy Jackson
Sea Powers; Aquaman, Percy Jackson
Secret Agent; Carmen Cortez, Juni Cortez
Secretly Immortal; Flayn, Rhea, Seteth
Servant; Alfred Pennyworth
Sesame Street; Bert, Ernie
Sesame Street Residents; Abby Cadabby
Shadaloo; M. Bison, Seth
Shape Shifter; Alex Fierro
Shapeshifter; Beast Boy
Sharing Body; Byleth, Walt Stone
Shazam Family; Captain Marvel Jr., Captain Marvel, Mary Marvel
Shields; Captain America
Shortpacked! Store; Amazi-Girl
Sibling; Anna|Elsa, Captain Marvel|Mary Marvel, Captain Marvel|Captain Marvel Jr., Elsa|Elsa, Jem Finch|Scout Finch, Leia Organa|Luke Skywalker, Luke Skywalker|Leia Organa, Mary Marvel|Captain Marvel, Scout Finch|Jem Finch
Siblings; Azula|Zuko, Captain Britain|Psylocke, Carter Kane|Sadie Kane, Katara|Sokka, Luigi|Mario, Mario|Luigi, Quicksilver|Scarlet Witch, Sadie Kane|Carter Kane, Scarlet Witch|Quicksilver, Sokka|Katara, Zuko|Azula
Sidekick; Bucky Barnes, Wally West
Siren (Borderlands); Amara
Sister; Candace Flynn
Sith Lord; Darth Vader, Kylo Ren
Size-Changing; Cassie Lang, Hank Pym, Hope van Dyne, Janet van Dyne, Nadia van Dyne, Scott Lang
Skeleton; Brook
Slightly Insane; Adrian Monk, Captain Ahab
Small; Araithia Shokta
Smuggler; Chewbacca, Han Solo
Snowman; Olaf
Sociopath; Alex DeLarge, Azula
Soldier; Ahsoka Tano, Alyx, Anakin Skywalker, Ashley Williams, Billy Pilgrim, Bolin, Cal Kestis, Captain John H. Miller, Darth Vader, Mace Windu, Obi-Wan Kenobi, Suki, War Machine
Sorcerer; Calypso, Carter Kane, Sadie Kane, Walt Stone, Zia Rashid
Southern Accent; Applejack
Space; Captain Kirk
Special Forces; Alfred Pennyworth
Speedster; Jay Garrick, Quicksilver, Sonic the Hedgehog
Speedsters; Aurora, Barry Allen, Bart Allen, Northstar, Wally West
Split Personality; Aurora
Spy; Black Widow
Spy Kids; Carmen Cortez, Juni Cortez
Star Trek Captains; Captain Kirk
Star Trek: The Original Series; Captain Kirk
Stardew Valley Bachelorettes; Abigail
